

Idaho (PST) SNOTEL Site Banner Summit - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Oct 29 20:48:25 GMT-08:00 2021. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,SNWD.I-1 (in) ,
312,2015-01-12,01:00,    11.5,    15.6,    -1.8,      41,
312,2015-01-12,02:00,    11.5,    15.6,    -1.7,-99.9,
312,2015-01-12,03:00,    11.5,    15.6,    -1.8,-99.9,
312,2015-01-12,04:00,    11.6,    15.6,    -1.8,-99.9,
312,2015-01-12,05:00,    11.6,    15.6,    -2.0,-99.9,
312,2015-01-12,06:00,    11.6,    15.6,    -2.8,-99.9,
312,2015-01-12,07:00,    11.6,    15.6,    -3.3,-99.9,
312,2015-01-12,08:00,    11.6,    15.6,    -5.0,-99.9,
312,2015-01-12,09:00,    11.6,    15.6,    -2.7,-99.9,
312,2015-01-12,10:00,    11.6,    15.6,    -1.9,-99.9,
312,2015-01-12,11:00,    11.6,    15.6,    -0.1,-99.9,
312,2015-01-12,12:00,    11.6,    15.6,     2.3,-99.9,
312,2015-01-12,13:00,    11.6,    15.6,     2.0,-99.9,
312,2015-01-12,14:00,    11.6,    15.5,     1.9,-99.9,
312,2015-01-12,15:00,    11.6,    15.6,     1.1,-99.9,
312,2015-01-12,16:00,    11.6,    15.6,    -0.3,      42,
312,2015-01-12,17:00,    11.6,    15.6,    -0.8,-99.9,
312,2015-01-12,18:00,    11.6,    15.6,    -1.5,      40,
312,2015-01-12,19:00,    11.6,    15.6,    -2.2,      40,
312,2015-01-12,20:00,    11.6,    15.6,    -4.8,      40,
312,2015-01-12,21:00,    11.6,    15.6,    -5.5,      41,
312,2015-01-12,22:00,    11.5,    15.6,    -5.2,      42,
312,2015-01-12,23:00,    11.5,    15.6,    -4.9,      42,
312,2015-01-13,00:00,    11.6,    15.6,    -5.1,      42,
312,2015-01-13,01:00,    11.6,    15.6,    -6.2,      41,
312,2015-01-13,02:00,    11.5,    15.6,    -6.6,      42,
312,2015-01-13,03:00,    11.5,    15.6,    -8.3,      40,
312,2015-01-13,04:00,    11.5,    15.6,    -8.3,      40,
312,2015-01-13,05:00,    11.5,    15.6,    -7.9,      41,
312,2015-01-13,06:00,    11.5,    15.6,    -9.2,      41,
312,2015-01-13,07:00,    11.5,    15.6,   -11.4,      40,
312,2015-01-13,08:00,    11.5,    15.6,   -11.0,      40,
312,2015-01-13,09:00,    11.5,    15.6,    -7.1,      41,
312,2015-01-13,10:00,    11.5,    15.6,    -3.3,      42,
312,2015-01-13,11:00,    11.6,    15.6,    -1.1,      40,
312,2015-01-13,12:00,    11.6,    15.6,     3.2,      41,
312,2015-01-13,13:00,    11.6,    15.6,     3.5,      41,
312,2015-01-13,14:00,    11.6,    15.6,     0.7,      41,
312,2015-01-13,15:00,    11.6,    15.6,    -1.9,      41,
312,2015-01-13,16:00,    11.6,    15.6,    -2.9,      41,
312,2015-01-13,17:00,    11.6,    15.6,    -5.9,      40,
312,2015-01-13,18:00,    11.5,    15.6,    -7.0,      41,
312,2015-01-13,19:00,    11.5,    15.6,    -9.0,-99.9,
312,2015-01-13,20:00,    11.5,    15.6,   -11.0,-99.9,
312,2015-01-13,21:00,    11.6,    15.6,   -11.3,-99.9,
312,2015-01-13,22:00,    11.5,    15.6,   -11.5,-99.9,
312,2015-01-13,23:00,    11.5,    15.6,   -12.0,-99.9,
312,2015-01-14,00:00,    11.6,    15.6,   -12.1,      40,
312,2015-01-14,01:00,    11.5,    15.7,   -11.2,      40,
312,2015-01-14,02:00,    11.5,    15.6,   -10.3,      39,
312,2015-01-14,03:00,    11.5,    15.6,   -11.4,-99.9,
312,2015-01-14,04:00,    11.5,    15.6,   -11.0,-99.9,
